Country-Medal,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
USA-Gold,2,2,5,3,3,5,5,3,5,3,4,4,4,4,4,5,4,4,1,5,4,4,5,4,4,4,5,5,4,4
USA-Silver,1,2,5,2,2,3,3,2,4,3,3,2,3,3,3,3,4,4,1,5,4,4,4,3,4,4,3,4,5,5
USA-Bronze,1,2,5,2,2,3,3,2,3,2,2,2,2,2,3,4,3,3,1,3,3,4,3,4,3,4,3,4,4,5
Japan-Gold,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,3,2
Japan-Silver,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2
Japan-Bronze,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,3,2,2
Britain-Gold,1,2,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,3,3,2
Britain-Silver,1,1,1,5,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,3,2,3
Britain-Bronze,1,1,1,4,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,3,1,2,1,1,2,2,2,2,3,3
France-Gold,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2
France-Silver,1,4,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3
France-Bronze,1,4,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,3
Australia-Gold,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
Australia-Silver,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,1,2
Australia-Bronze,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,2,2,2,2,1,3,2
