Probability Chart,Brown,Reading,Light Blue,Just Visitng,Pink,Pennsylvania,Orange,Free Parking,Red,B&O,Yellow,Jail,Green,Short Line,Dark Blue,Go
Brown,0.02777777778,0,0,0,0,0,0,0,0,0,0.006944444444,0,0.3333333333,0.5555555556,0.4305555556,0.1666666667
Reading,0.04166666667,0,0,0,0,0,0,0,0,0,0,0,0.02083333333,0.08333333333,0.1388888889,0.1111111111
Light Blue,0.4305555556,0.1666666667,0.02777777778,0,0,0,0,0,0,0,0,0,0.006944444444,0.08333333333,0.3333333333,0.5555555556
Just Visiting,0.1388888889,0.1111111111,0.04166666667,0,0,0,0,0,0,0,0,0,0,0,0.02083333333,0.08333333333
Pink,0.3333333333,0.5555555556,0.4305555556,0.1666666667,0.02777777778,0,0,0,0,0,0,0.1666666667,0,0,0.006944444444,0.08333333333
Pennsylvania,0.02083333333,0.08333333333,0.1388888889,0.1111111111,0.04166666667,0,0,0,0,0,0,0.1111111111,0,0,0,0
Orange,0.006944444444,0.08333333333,0.3333333333,0.5555555556,0.4305555556,0.1666666667,0.02777777778,0,0,0,0,0.5555555556,0,0,0,0
Free Parking,0,0,0.02083333333,0.08333333333,0.1388888889,0.1111111111,0.04166666667,0,0,0,0,0.08333333333,0,0,0,0
Red,0,0,0.006944444444,0.08333333333,0.3333333333,0.5555555556,0.4305555556,0.1666666667,0.02777777778,0,0,0.08333333333,0,0,0,0
B&O,0,0,0,0,0.02083333333,0.08333333333,0.1388888889,0.1111111111,0.04166666667,0,0,0,0,0,0,0
Yellow,0,0,0,0,0.006944444444,0.08333333333,0.3333333333,0.5555555556,0.4305555556,0.1666666667,0.02777777778,0,0,0,0,0
Jail,0,0,0,0,0,0,0.02083333333,0.08333333333,0.1388888889,0.1111111111,0.04166666667,0,0,0,0,0
Green,0,0,0,0,0,0,0.006944444444,0.08333333333,0.3333333333,0.5555555556,0.4305555556,0,0.02777777778,0,0,0
Short Line,0,0,0,0,0,0,0,0,0.02083333333,0.08333333333,0.1388888889,0,0.04166666667,0,0,0
Dark Blue,0,0,0,0,0,0,0,0,0.006944444444,0.08333333333,0.3333333333,0,0.4305555556,0.1666666667,0.02777777778,0
Go,0,0,0,0,0,0,0,0,0,0,0.02083333333,0,0.1388888889,0.1111111111,0.04166666667,0
