Country-Medal,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
USA-Gold,11,19,76,23,26,41,45,22,44,24,38,40,32,34,36,45,33,34,0,83,36,37,44,37,36,36,48,46,39,40
USA-Silver,7,14,78,12,19,27,27,18,36,21,27,19,25,21,26,28,31,35,0,61,31,34,32,24,39,39,26,37,41,44
USA-Bronze,2,15,77,12,19,27,27,16,30,12,19,17,17,16,28,34,30,25,0,30,27,37,25,32,26,37,30,38,33,42
Japan-Gold,0,0,0,0,0,0,0,2,7,6,0,1,4,4,16,11,13,9,0,10,4,3,3,5,16,9,7,12,27,20
Japan-Silver,0,0,0,0,0,2,0,2,7,4,0,6,10,7,5,7,8,6,0,8,3,8,6,8,9,8,14,8,14,12
Japan-Bronze,0,0,0,0,0,0,1,1,4,8,0,2,5,7,8,7,8,10,0,14,7,11,5,5,12,8,17,21,17,13
Britain-Gold,2,15,1,56,10,14,9,3,4,4,3,1,6,2,4,5,4,3,5,5,5,5,1,11,9,19,29,27,22,14
Britain-Silver,3,8,1,51,15,15,13,10,7,7,14,2,7,6,12,5,5,5,7,11,10,3,8,10,9,13,18,23,20,22
Britain-Bronze,2,9,0,39,16,13,12,7,5,3,6,8,11,12,2,3,9,5,9,21,9,12,6,7,12,19,18,17,22,29
France-Gold,5,27,0,5,7,9,13,6,10,7,10,6,4,0,1,7,2,2,6,5,6,8,15,13,11,7,11,10,10,16
France-Silver,4,38,1,5,4,19,15,10,5,6,6,6,4,2,8,3,4,3,5,7,4,5,7,14,9,16,11,18,12,26
France-Bronze,2,37,0,9,3,13,10,5,4,6,13,6,6,3,6,5,7,4,3,16,6,16,15,11,13,20,13,14,11,22
Australia-Gold,2,2,0,1,2,0,3,1,3,0,2,6,13,8,6,5,8,0,2,4,3,7,9,16,17,14,8,8,17,18
Australia-Silver,0,0,3,2,2,2,1,2,1,0,6,2,8,8,2,7,7,1,2,8,6,9,9,25,16,15,15,11,7,19
Australia-Bronze,0,3,1,2,3,1,2,1,1,1,5,3,14,6,10,5,2,4,5,12,5,11,23,17,17,17,12,10,22,16
USA-Home,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
Britain-Home,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
France-Home,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Aus-Home,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
J-Home,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
